COMMAND     PID  USER   FD      TYPE             DEVICE SIZE/OFF    NODE NAME
dbus-daem 17673 sedna   38u     unix 0x0000000000000000      0t0   41434 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   39u     unix 0x0000000000000000      0t0   41437 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   40u     unix 0x0000000000000000      0t0   41511 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   41u     unix 0x0000000000000000      0t0   41515 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   42u     unix 0x0000000000000000      0t0   41543 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   43u     unix 0x0000000000000000      0t0   41544 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   44u     unix 0x0000000000000000      0t0   41546 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   45u     unix 0x0000000000000000      0t0   41553 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   46u     unix 0x0000000000000000      0t0   41723 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   47u     unix 0x0000000000000000      0t0   41474 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   48u     unix 0x0000000000000000      0t0   41975 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   49u     unix 0x0000000000000000      0t0   41238 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   50u     unix 0x0000000000000000      0t0   42096 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   51u     unix 0x0000000000000000      0t0   41239 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   52u     unix 0x0000000000000000      0t0   41303 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   53u     unix 0x0000000000000000      0t0   41307 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   54u     unix 0x0000000000000000      0t0   41360 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   55u     unix 0x0000000000000000      0t0   41466 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   56u     unix 0x0000000000000000      0t0   42101 @/tmp/dbus-67cuLcIM3m
